,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,2.7366639999999998,232.0,438.0,13350.0,548216.0,244.45821099999998,31.0,29.0,38858.98828,1598924.75,21.0,197.0,11.845558,6.261361,4449.110313,3234.831566,255.0,486483908.0,492604340.0,255.0,0.000558,0.00044400000000000006,0.00011399999999999999,58.0,1252.0,0.0,0.0,11.0,0.0,5.0,2.0,1.0,5.0,0.0,0.0,0.0,4.0,10.0,0.0
1,9e-06,2.0,0.0,114.0,0.0,111111.1072,254.0,0.0,50666664.0,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,10.0,2.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0
2,5.788526,36.0,34.0,6102.0,3892.0,11.920133,254.0,252.0,8199.668945,5221.36377,13.0,13.0,165.386453,172.34575,8561.040438,249.95054700000003,255.0,3835852222.0,201002858.0,255.0,0.158826,0.057901999999999995,0.100924,170.0,114.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0
3,3.8496339999999996,448.0,858.0,25160.0,1094788.0,338.993271,31.0,29.0,52169.11719,2272451.0,38.0,390.0,8.669644,4.496707,4053.08602,2918.730804,255.0,2802824152.0,661443578.0,255.0,0.000558,0.00044800000000000005,0.00011,56.0,1276.0,0.0,0.0,9.0,0.0,3.0,2.0,1.0,6.0,0.0,0.0,0.0,2.0,9.0,0.0
4,0.001052,2.0,2.0,130.0,162.0,2851.711087,31.0,29.0,494296.5938,615969.625,0.0,0.0,0.008,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,81.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0
5,5e-06,2.0,0.0,114.0,0.0,200000.0051,254.0,0.0,91200000.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,34.0,2.0,25.0,25.0,12.0,34.0,0.0,0.0,0.0,25.0,34.0,0.0
6,8e-06,2.0,0.0,114.0,0.0,125000.0003,254.0,0.0,57000000.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,9.0,2.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0
7,1.465899,34.0,16.0,28660.0,814.0,33.426587,254.0,252.0,151814.0,4169.455078,14.0,3.0,43.671909,91.67573399999999,3963.3212770000005,125.553867,255.0,3680557040.0,590273867.0,255.0,0.140336,0.090759,0.049576999999999996,843.0,51.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0
8,0.034137,52.0,42.0,37492.0,3380.0,2724.3167719999997,31.0,29.0,8617278.0,773354.4375,18.0,8.0,0.689755,0.819268,42.179459,1.804168,255.0,4019493883.0,1875135451.0,255.0,0.000667,0.000542,0.000125,721.0,80.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
9,0.022733,48.0,50.0,2958.0,33044.0,4266.92489,31.0,29.0,1019487.125,11396297.0,7.0,18.0,0.47708500000000004,0.45246899999999995,25.926994,26.607684000000003,255.0,2991578167.0,3016560789.0,255.0,0.000682,0.000559,0.000123,62.0,661.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0
10,1.0085680000000001,4.0,0.0,360.0,0.0,2.974514,254.0,0.0,2141.650146,0.0,0.0,0.0,336.189344,0.0,475.433625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
11,1e-05,2.0,0.0,200.0,0.0,100000.0025,254.0,0.0,80000000.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0
12,0.9351649999999999,14.0,12.0,774.0,642.0,26.733251,254.0,252.0,6150.786133,5038.683105,4.0,3.0,70.344695,80.192367,4331.012656,114.148,255.0,2235169008.0,3564158083.0,255.0,0.108777,0.053047000000000004,0.055729999999999995,55.0,54.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0
13,0.628938,10.0,8.0,672.0,354.0,27.029690000000002,254.0,252.0,7695.511719,3943.154785,2.0,1.0,67.662778,76.505859,3950.174903,143.37406299999998,255.0,761387674.0,2553412688.0,255.0,0.16433499999999998,0.093388,0.070947,67.0,44.0,0.0,0.0,6.0,1.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,4.0,4.0,0.0
14,8e-06,2.0,0.0,114.0,0.0,125000.0003,254.0,0.0,57000000.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,17.0,2.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,18.0,17.0,0.0
15,0.001721,4.0,4.0,536.0,304.0,4067.4027920000003,31.0,29.0,1868681.0,1059849.0,0.0,0.0,0.445333,0.216667,0.623433,0.30075999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,76.0,0.0,0.0,4.0,0.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,9.0,0.0
16,0.29537800000000003,22.0,8.0,20964.0,354.0,98.179282,254.0,252.0,542003.8125,8396.021484,8.0,1.0,13.330667000000002,33.771,1072.16108,63.188058999999996,255.0,2914001345.0,3494127494.0,255.0,0.110125,0.058965,0.051160000000000004,953.0,44.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,1.0,0.0
